"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","120/1165","191/4257",0.6282722513089,2.29575534233647,11.2460506269502,9.70553777773386e-26,1.78581895110303e-23,1.33834257777172e-23,"K00850/K02501/K00821/K01834/K01817/K01652/K17989/K00948/K01953/K01681/K00266/K00134/K05822/K00145/K00800/K00789/K01735/K00013/K01687/K01760/K14260/K00031/K01808/K01778/K00812/K00641/K00928/K01693/K00930/K03785/K00616/K01736/K00765/K00014/K14155/K01696/K01915/K00872/K01476/K01659/K01439/K00674/K01783/K01958/K06209/K01739/K00003/K01752/K00891/K01750/K04486/K00611/K01714/K01914/K15633/K00133/K00826/K00873/K01079/K01657/K01586/K10206/K00651/K00549/K00150/K03786/K01658/K00053/K00215/K01438/K01695/K11645/K00147/K04517/K01496/K11358/K01755/K00927/K00548/K01626/K03340/K01647/K00286/K11755/K01940/K00766/K00058/K01653/K00052/K01609/K00817/K01738/K03856/K02500/K00620/K00640/K00615/K01733/K06001/K15635/K01620/K00931/K00290/K12524/K01624/K01803/K01649/K01704/K13497/K00619/K00030/K01814/K00600/K01754/K01689/K01243/K00831/K21071/K01703/K14170",120
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","142/1165","275/4257",0.516363636363636,1.88683261802575,9.33257324334503,9.33272934233195e-19,8.5861109949454e-17,6.4346712833973e-17,"K01938/K00868/K06215/K00940/K09007/K18285/K00254/K00793/K01955/K00946/K02189/K02224/K08681/K00647/K00954/K01950/K01916/K01012/K00969/K01845/K03149/K02231/K00796/K08097/K02372/K06897/K00762/K00789/K00833/K03148/K00287/K03517/K00278/K01885/K09903/K05895/K01591/K00230/K01918/K00941/K03183/K00939/K03809/K02188/K00077/K02858/K00950/K03639/K02232/K02190/K01113/K02233/K02551/K01737/K06042/K03750/K13542/K00763/K17828/K02169/K07130/K03801/K01077/K01939/K00949/K00858/K03394/K14652/K03186/K11784/K01491/K01599/K00826/K11785/K01465/K11753/K04487/K01749/K05936/K09458/K02304/K08310/K09882/K01919/K03179/K00382/K00768/K19221/K01809/K00963/K05934/K00595/K02823/K01719/K08680/K11754/K01937/K03147/K00794/K09680/K01698/K21977/K01195/K11783/K11782/K04032/K02552/K03150/K11752/K01956/K02226/K00859/K02230/K00878/K03637/K00652/K00788/K01661/K03644/K00059/K00128/K01633/K13038/K03525/K01756/K01935/K00767/K01579/K08679/K13940/K03151/K00012/K00609/K00600/K03800/K00208/K00606/K00275/K02492/K02227/K00831/K03182",142
"Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","28/1165","36/4257",0.777777777777778,2.84206008583691,6.81226284189587,3.77053799232643e-10,2.31259663529354e-08,1.73312448068338e-08,"K01878/K00604/K02435/K02434/K01893/K01875/K02433/K01885/K01889/K01868/K01876/K01866/K01870/K01872/K01880/K01890/K01881/K01869/K01874/K01879/K01883/K01867/K01892/K01873/K01042/K01887/K04567/K01886",28
"Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","36/1165","66/4257",0.545454545454545,1.9931330472103,4.99073604004789,2.43789822921477e-06,0.000107739271052262,8.07428175506082e-05,"K01938/K00297/K01963/K00175/K01681/K00626/K01679/K01006/K01678/K00197/K00031/K14534/K13788/K01007/K00196/K01961/K01958/K01677/K01903/K00177/K01491/K00925/K00176/K00625/K03737/K01895/K05606/K02160/K01676/K01962/K00174/K00241/K00239/K14138/K00240/K00194",36
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","101/1165","250/4257",0.404,1.47624721030043,4.76361668293314,2.9276975829419e-06,0.000107739271052262,8.07428175506082e-05,"K01938/K00850/K00297/K03781/K01834/K01963/K01625/K00874/K17989/K00029/K00175/K00948/K01681/K00626/K11263/K01679/K00134/K00123/K01810/K01006/K01678/K00197/K00031/K01808/K14534/K13788/K00116/K00283/K00282/K01007/K01782/K00616/K01057/K00196/K01659/K01783/K01961/K01958/K00140/K18122/K01677/K01903/K01752/K03390/K00177/K15633/K18120/K01491/K00925/K11529/K00873/K00176/K01079/K00074/K03389/K00150/K00382/K00018/K00625/K03737/K01610/K11645/K01895/K02446/K00124/K00261/K00927/K00605/K05606/K01647/K02160/K03841/K00058/K01676/K00845/K01966/K01962/K01738/K00027/K00174/K19268/K00640/K00615/K02437/K15635/K03738/K00241/K01624/K01803/K00239/K14138/K14083/K00240/K00030/K11261/K00194/K00600/K01754/K01689/K00831/K21071",101
"Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","43/1165","86/4257",0.5,1.82703862660944,4.75553030974941,5.5765321137671e-06,0.000171013651488858,0.000128162404719911,"K01207/K00978/K12373/K01840/K01810/K02473/K00847/K00965/K00971/K02793/K02794/K01183/K00075/K04042/K18675/K00972/K01788/K01784/K12448/K00820/K01791/K08678/K02564/K00790/K22292/K00849/K01809/K16011/K00963/K01787/K02796/K01198/K00845/K01443/K07106/K17716/K01835/K02795/K01854/K03431/K08679/K00012/K00973",43
"Metabolism","Metabolism of cofactors and vitamins","ko00770","Pantothenate and CoA biosynthesis","22/1165","35/4257",0.628571428571429,2.29684855916616,4.72833459447975,1.10936222207324e-05,0.000291603784087823,0.000218536016679089,"K00954/K01652/K06016/K01687/K01918/K00077/K01464/K00997/K17723/K00826/K00053/K04765/K09680/K01653/K21977/K00859/K06133/K00128/K13038/K03525/K01579/K00606",22
"Genetic Information Processing","Folding, sorting and degradation","ko03060","Protein export","17/1165","25/4257",0.68,2.48477253218884,4.56984141443141,2.55592507418476e-05,0.000587862767062496,0.000440560769366058,"K03117/K13280/K03075/K03116/K03072/K03217/K03100/K03074/K03101/K03070/K03106/K03210/K03076/K03110/K03118/K12257/K03073",17
"Metabolism","Amino acid metabolism","ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","25/1165","44/4257",0.568181818181818,2.07618025751073,4.40412522530357,3.41686191343099e-05,0.000632293943649996,0.000473858733513441,"K11646/K01817/K00800/K01735/K00812/K03785/K01736/K00014/K01696/K06209/K00891/K01657/K03786/K01658/K01695/K04517/K11358/K01626/K00766/K01609/K00817/K03856/K06001/K13497/K14170",25
"Human Diseases","Drug resistance: antimicrobial","ko01502","Vancomycin resistance","13/1165","17/4257",0.764705882352941,2.79429437010856,4.54966328828716,3.43638012853259e-05,0.000632293943649996,0.000473858733513441,"K18346/K01929/K18348/K07260/K18349/K18350/K18866/K01000/K01775/K02563/K01921/K18856/K08641",13
