"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - prokaryotes","ko02026","Biofilm formation","15/186","49/4257",0.306122448979592,7.00625411454905,9.03796400853341,9.84214930340538e-10,9.25162034520105e-08,7.8737194427243e-08,"K07676/K21090/K04333/K07687/K03566/K11531/K11937/K21084/K11935/K18968/K03087/K04336/K02425/K11931/K12687",15
"Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","16/186","70/4257",0.228571428571429,5.23133640552995,7.62924961960452,2.89234350541305e-08,1.35940144754413e-06,1.15693740216522e-06,"K13301/K02461/K02459/K02452/K03425/K02457/K02460/K02458/K11904/K02462/K02453/K11891/K11892/K11906/K11903/K11907",16
"Metabolism","Amino acid metabolism","ko00360","Phenylalanine metabolism","9/186","43/4257",0.209302325581395,4.79032258064516,5.33912225575222,7.42732263344064e-05,0.00141576228990153,0.00120490407651194,"K03782/K05714/K00529/K02610/K00813/K02612/K02613/K02554/K01692",9
"Metabolism","Glycan biosynthesis and metabolism","ko00540","Lipopolysaccharide biosynthesis","9/186","43/4257",0.209302325581395,4.79032258064516,5.33912225575222,7.42732263344064e-05,0.00141576228990153,0.00120490407651194,"K07264/K02848/K02560/K12973/K02847/K03275/K02850/K12981/K03276",9
"Cellular Processes","Cellular community - prokaryotes","ko05111","Biofilm formation","10/186","53/4257",0.188679245283019,4.31832014607425,5.19555079853304,7.53065047819962e-05,0.00141576228990153,0.00120490407651194,"K02461/K02459/K02452/K02457/K02460/K02458/K02462/K02453/K10939/K03087",10
"Human Diseases","Infectious disease: bacterial","ko05133","Pertussis","5/186","14/4257",0.357142857142857,8.17396313364055,5.746367181001,0.000218937270942092,0.00343001724475943,0.00291916361256122,"K07679/K07347/K07345/K07690/K12973",5
"Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","6/186","26/4257",0.230769230769231,5.28163771712159,4.68038748460499,0.000710538977698655,0.00954152341481051,0.0081204454594132,"K12368/K05874/K05877/K05876/K03776/K05875",6
"Environmental Information Processing","Signal transduction","ko02020","Two-component system","29/186","366/4257",0.0792349726775956,1.81345848757271,3.4789809668487,0.00100573090551186,0.0118173381397643,0.0100573090551186,"K07676/K18326/K07679/K07347/K07796/K08348/K07644/K09475/K09476/K07641/K07686/K19611/K07771/K07642/K07687/K08350/K05874/K07690/K07789/K07647/K07772/K05877/K05876/K03776/K05875/K07688/K08476/K08478/K07780",29
"Metabolism","Xenobiotics biodegradation and metabolism","ko00362","Benzoate degradation","8/186","51/4257",0.156862745098039,3.59013282732448,3.97721639127055,0.00144565948248911,0.0150991101504418,0.0128503065110143,"K01825/K01782/K00529/K02554/K01692/K00448/K22270/K01857",8
"Human Diseases","Drug resistance: antimicrobial","ko01503","Cationic antimicrobial peptide (CAMP) resistance","7/186","45/4257",0.155555555555556,3.56021505376344,3.69016047664927,0.00300554635713248,0.0282521357570453,0.0240443708570598,"K13014/K07264/K19236/K07771/K19238/K12962/K12973",7
"Metabolism","Lipid metabolism","ko00071","Fatty acid degradation","5/186","25/4257",0.2,4.57741935483871,3.83419112593936,0.00392549526131438,0.0335451413239593,0.0285490564459228,"K01825/K01782/K00529/K00121/K01692",5
"Metabolism","Carbohydrate metabolism","ko00640","Propanoate metabolism","9/186","77/4257",0.116883116883117,2.67511520737327,3.17036039187689,0.00589438365601178,0.0461726719720923,0.0392958910400785,"K01825/K01782/K19745/K01908/K01659/K01720/K01692/K00086/K13923",9
