"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","124/1184","191/4257",0.649214659685864,2.33421182963068,11.7098994021734,7.6865215689719e-28,1.39126040398391e-25,1.02756656764151e-25,"K01803/K01586/K00286/K00215/K00927/K01689/K00052/K01704/K01649/K00821/K00145/K00826/K00789/K02501/K01783/K01653/K00817/K01733/K02500/K00651/K00013/K00948/K01814/K01681/K00873/K00134/K00800/K01915/K01703/K00931/K00928/K00930/K01243/K01714/K00891/K01778/K01736/K00133/K01808/K01624/K01752/K00014/K01735/K00058/K00053/K01738/K01652/K07173/K01687/K01755/K00548/K00615/K01940/K01647/K00831/K00147/K01953/K00031/K01657/K01695/K01914/K01620/K00850/K01696/K00600/K14155/K00640/K00266/K15633/K11755/K01817/K00766/K01609/K01658/K01754/K00765/K10206/K03786/K04486/K00003/K01693/K21071/K03340/K04517/K00616/K00290/K00611/K14170/K00620/K06209/K03785/K02502/K11358/K01439/K03856/K15635/K06001/K01958/K01626/K01834/K14260/K00030/K04518/K00812/K00872/K01960/K01079/K00265/K01438/K01089/K01739/K00549/K01523/K12524/K01496/K01476/K01807/K00674/K05822/K01750/K13497/K00832/K00841/K01760",124
"Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","28/1184","36/4257",0.777777777777778,2.7964527027027,6.71822806029035,5.68948783033319e-10,5.14898648645153e-08,3.80297344448587e-08,"K00604/K01892/K01868/K04567/K01874/K01889/K01875/K01890/K01867/K01870/K01873/K01883/K01872/K01881/K01876/K01866/K01887/K01893/K01869/K01886/K01885/K01880/K02435/K02433/K02434/K09759/K09698/K01042",28
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","120/1184","275/4257",0.436363636363636,1.56891891891892,6.05426568909084,4.35835735381902e-09,2.62954227013748e-07,1.94214520678953e-07,"K00939/K00609/K01956/K01591/K00826/K00789/K00858/K01465/K01756/K00762/K13038/K11754/K00059/K01491/K01939/K11753/K09903/K00868/K00278/K01938/K01937/K03147/K00767/K00831/K00954/K02823/K09458/K00610/K00969/K00287/K17828/K00793/K00600/K01885/K03517/K01950/K01955/K00859/K11752/K01495/K00788/K00768/K00794/K00941/K03525/K03149/K02227/K00949/K00763/K02233/K02224/K02232/K02231/K02372/K14652/K03150/K00077/K02188/K01012/K01809/K03394/K02226/K03639/K01579/K00012/K03637/K19221/K01918/K00595/K00796/K13542/K05936/K01737/K00878/K02189/K06042/K00606/K04487/K03151/K02190/K01698/K02492/K00128/K01749/K01845/K01077/K13940/K08681/K02304/K01195/K02548/K06215/K05895/K02619/K01633/K00208/K00950/K03750/K01599/K03183/K00946/K02551/K03148/K00097/K00963/K00226/K06897/K03707/K03800/K01911/K06989/K09680/K03186/K05934/K00647/K09698/K02302/K08281/K01919/K01916",120
"Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","38/1184","66/4257",0.575757575757576,2.07010135135135,5.43792771795934,3.09474508743531e-07,1.06749851789212e-05,7.88440312720555e-06,"K01681/K01491/K00297/K00925/K01938/K00031/K03737/K00625/K01006/K00239/K02160/K01962/K01961/K01678/K01677/K00240/K00626/K01958/K00177/K01895/K00174/K00176/K00175/K00244/K00170/K01960/K00169/K15024/K01963/K05606/K00198/K14534/K01848/K01679/K01902/K01903/K00172/K01595",38
"Metabolism","Carbohydrate metabolism","ko00052","Galactose metabolism","32/1184","52/4257",0.615384615384615,2.21257796257796,5.46039076594587,3.31696262364998e-07,1.06749851789212e-05,7.88440312720555e-06,"K01835/K01784/K00849/K00850/K00845/K01804/K07407/K01785/K01854/K01193/K12308/K01190/K21071/K00965/K01187/K01182/K02775/K02744/K00917/K00963/K17716/K02774/K02786/K02773/K07406/K08302/K02745/K02746/K02747/K00844/K01684/K12111",32
"Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","46/1184","86/4257",0.534883720930233,1.92314189189189,5.3677585327092,3.53866912008438e-07,1.06749851789212e-05,7.88440312720555e-06,"K01810/K00075/K00790/K01835/K01784/K00849/K00820/K00845/K00847/K02564/K01443/K00973/K01209/K01809/K01854/K00975/K00012/K01198/K03431/K00965/K01791/K01788/K01207/K02795/K04042/K02793/K07106/K02794/K02796/K00971/K01840/K02744/K00978/K02777/K12373/K00963/K01183/K17716/K01787/K06859/K02745/K02746/K02747/K00844/K02473/K15921",46
"Cellular Processes","Cell motility","ko02040","Flagellar assembly","31/1184","51/4257",0.607843137254902,2.18546303656598,5.28608146126054,7.51319590782233e-07,1.94269779902263e-05,1.43485094780968e-05,"K02557/K03092/K02424/K02420/K02406/K02410/K02405/K02417/K02408/K02390/K02422/K02392/K02388/K02401/K02407/K02389/K02397/K02387/K02421/K02412/K02396/K02556/K02416/K02409/K02419/K02413/K02411/K02400/K02418/K02398/K02414",31
"Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","37/1184","70/4257",0.528571428571429,1.90044642857143,4.71466457364051,7.25088628101382e-06,0.000164051302107938,0.000121166126011678,"K01810/K00703/K00688/K01835/K00700/K00705/K00845/K00847/K01200/K01193/K05349/K00975/K01187/K01182/K01214/K01176/K00978/K02777/K01223/K00690/K01208/K00963/K01179/K00702/K21574/K01838/K05350/K06859/K01232/K06896/K02761/K02760/K02759/K05988/K00844/K05343/K01222",37
"Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","43/1184","86/4257",0.5,1.79771959459459,4.63847020507213,8.77864077528296e-06,0.000176548220036246,0.000130396184615314,"K00939/K21636/K00088/K01756/K01951/K00761/K00760/K00945/K01939/K01489/K01520/K09903/K00942/K01937/K03816/K00759/K01129/K00876/K01493/K03783/K00757/K00857/K00560/K00525/K01486/K01488/K03784/K00943/K03787/K01081/K03465/K00756/K02825/K01487/K00526/K00087/K13479/K01239/K08722/K11751/K01494/K01485/K10213",43
"Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","40/1184","79/4257",0.506329113924051,1.82047553882997,4.56867585624746,1.22666170122141e-05,0.00020046293325761,0.000148059276090238,"K00609/K01956/K01591/K21636/K01465/K00761/K00762/K00945/K01489/K01520/K09903/K01937/K02823/K00610/K17828/K01955/K00876/K01493/K00757/K00857/K00560/K00525/K01119/K00943/K03787/K01081/K03465/K00756/K06016/K01464/K02825/K00526/K00226/K16328/K08722/K11751/K01494/K17723/K01485/K10213",40
"Metabolism","Amino acid metabolism","ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","26/1184","44/4257",0.590909090909091,2.1245777027027,4.65388296764547,1.23832499900521e-05,0.00020046293325761,0.000148059276090238,"K00817/K00800/K00891/K01736/K00014/K01735/K01657/K01695/K01696/K01817/K00766/K01609/K01658/K03786/K04517/K14170/K06209/K03785/K11358/K03856/K06001/K01626/K04518/K00812/K13497/K00832",26
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","38/1184","74/4257",0.513513513513513,1.84630661066472,4.55821747257734,1.32903602159741e-05,0.00020046293325761,0.000148059276090238,"K01803/K01810/K00927/K01689/K00873/K00134/K01835/K01624/K00850/K00845/K01610/K15633/K03737/K04041/K01785/K01006/K21071/K00016/K00128/K15635/K01834/K01895/K00174/K04072/K00175/K00001/K00170/K00895/K02777/K00169/K13954/K01223/K06859/K00844/K01222/K01596/K00172/K01905",38
"Metabolism","Biosynthesis of other secondary metabolites","ko00521","Streptomycin biosynthesis","10/1184","11/4257",0.909090909090909,3.26858108108108,4.67580115949968,2.21934407985627e-05,0.000297005888566449,0.000219364628368357,"K01835/K00845/K00067/K01710/K00973/K01790/K01858/K01092/K00010/K00844",10
"Metabolism","Amino acid metabolism","ko00270","Cysteine and methionine metabolism","39/1184","78/4257",0.5,1.79771959459459,4.4132319776419,2.29728311598358e-05,0.000297005888566449,0.000219364628368357,"K00826/K00789/K00651/K00928/K01243/K00133/K01752/K00058/K01738/K07173/K00548/K00831/K14155/K00640/K01740/K00558/K00003/K12960/K00016/K00797/K11358/K08968/K00812/K00872/K08963/K01739/K00549/K01251/K12524/K00772/K05396/K01611/K00547/K00832/K01919/K00899/K01761/K08969/K01760",39
"Genetic Information Processing","Translation","ko03010","Ribosome","55/1184","123/4257",0.447154471544715,1.60771671061305,4.24486495969737,3.51528630382156e-05,0.000424177880661134,0.000313292182866903,"K02867/K02988/K02939/K02863/K02906/K02986/K02881/K02948/K02879/K02935/K02926/K02990/K02864/K02982/K02931/K02965/K02994/K02933/K02904/K02871/K02945/K02996/K02952/K02959/K02887/K02961/K02963/K02950/K02884/K02890/K02992/K02874/K02888/K02956/K02886/K02968/K02895/K02892/K02916/K02876/K02967/K02907/K02899/K02946/K02909/K02878/K02970/K02902/K02911/K02954/K02913/K02897/K02914/K02919/K07590",55
"Metabolism","Glycan biosynthesis and metabolism","ko00550","Peptidoglycan biosynthesis","26/1184","47/4257",0.553191489361702,1.988966359977,4.23140681256083,6.07946653474386e-05,0.000687739651742899,0.000507955427573994,"K00075/K02563/K06153/K00790/K01921/K00806/K01925/K03588/K01929/K01924/K01928/K19302/K01000/K05515/K05366/K07258/K05364/K03587/K08384/K07259/K07260/K03814/K12554/K12555/K21464/K05362",26
"Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","27/1184","50/4257",0.54,1.94153716216216,4.15653644710524,7.73972308248935e-05,0.000824052869370925,0.000608634570573466,"K00609/K01956/K01756/K01915/K01939/K00278/K01755/K01940/K00820/K00610/K01953/K01914/K00262/K00764/K01955/K00266/K01424/K01744/K11358/K00259/K01779/K14260/K00812/K00265/K00294/K00260/K00261",27
"Metabolism","Carbohydrate metabolism","ko00040","Pentose and glucuronate interconversions","30/1184","59/4257",0.508474576271186,1.82818941823179,3.97584867773637,0.000136156564108417,0.00136912989464575,0.00101122126560053,"K01783/K01804/K00854/K01812/K00041/K01685/K00848/K03077/K00012/K01686/K01629/K00008/K01815/K01051/K01818/K01628/K01195/K00040/K00963/K00065/K05352/K21030/K08322/K08323/K08092/K01730/K16850/K16849/K03079/K00880",30
"Metabolism","Metabolism of cofactors and vitamins","ko00770","Pantothenate and CoA biosynthesis","20/1184","35/4257",0.571428571428571,2.05453667953668,3.88805122963705,0.000240582359532908,0.00229186353028718,0.00169274014740606,"K00826/K01653/K13038/K00053/K01652/K01687/K00954/K00859/K03525/K00077/K01579/K01918/K00606/K00128/K06133/K00997/K06016/K01464/K09680/K17723",20
"Human Diseases","Drug resistance: antimicrobial","ko01502","Vancomycin resistance","12/1184","17/4257",0.705882352941177,2.53795707472178,3.9434934818607,0.000294460151113521,0.00266486436757736,0.00196823364165353,"K02563/K01921/K01929/K01775/K01000/K18350/K18349/K07260/K18344/K08641/K18345/K18346",12
"Environmental Information Processing","Membrane transport","ko02010","ABC transporters","135/1184","381/4257",0.354330708661417,1.27397451585444,3.47837300956656,0.000401032581934355,0.00341929562636591,0.00252544660976139,"K09811/K09812/K11072/K11071/K02040/K11069/K02037/K02038/K11070/K02036/K09817/K09815/K09816/K02018/K02020/K02017/K10439/K03523/K10112/K16786/K16785/K16787/K02071/K10540/K02072/K10118/K10119/K10823/K10541/K15582/K15581/K10441/K15583/K10440/K01997/K11085/K10117/K02073/K01995/K10542/K01998/K17076/K01996/K09692/K09690/K17318/K10546/K02012/K09693/K17319/K09691/K10547/K01999/K17320/K02046/K15770/K02006/K15771/K02007/K17073/K20461/K15580/K15772/K02066/K02047/K09810/K02065/K10548/K02067/K20459/K19310/K02045/K11720/K02048/K02008/K02011/K18889/K19350/K02010/K07091/K11050/K20460/K11051/K02424/K16960/K20490/K15555/K10202/K10200/K10201/K10189/K10009/K20492/K20344/K05814/K05845/K18890/K10192/K05815/K10041/K10039/K16959/K15554/K10194/K10040/K10193/K16958/K09697/K10559/K05847/K17215/K06726/K02041/K17213/K10543/K10562/K10561/K18231/K15586/K15598/K02044/K17214/K10010/K17074/K15584/K02042/K02471/K15553/K15600/K17204/K11953/K15587/K15585/K16963/K10824",135
"Environmental Information Processing","Membrane transport","ko02060","Phosphotransferase system (PTS)","27/1184","54/4257",0.5,1.79771959459459,3.66153192814708,0.000415604993259945,0.00341929562636591,0.00252544660976139,"K02768/K00882/K08483/K02795/K02775/K02793/K02794/K02796/K02744/K02777/K02770/K02774/K02786/K02773/K02798/K02821/K02769/K02761/K02760/K19508/K02745/K02759/K02746/K02747/K02822/K03475/K02782",27
"Metabolism","Metabolism of cofactors and vitamins","ko00730","Thiamine metabolism","16/1184","27/4257",0.592592592592593,2.13063063063063,3.65786628952245,0.000585306889024146,0.00460611073536393,0.00340201258151334,"K00939/K06949/K03147/K01662/K00788/K00941/K03149/K00949/K03150/K00878/K04487/K03151/K01077/K00946/K03148/K03707",16
"Metabolism","Global and overview maps","ko01250","Biosynthesis of nucleotide sugars","48/1184","114/4257",0.421052631578947,1.51386913229018,3.45177811160786,0.000617525596332674,0.00465717220567558,0.00343972590939691,"K01810/K00075/K00790/K01835/K01784/K00849/K00820/K00845/K00067/K00847/K01710/K00973/K01809/K01854/K01790/K00975/K00012/K03431/K00965/K01791/K03270/K02377/K01711/K04042/K03271/K00979/K00971/K01840/K06041/K01627/K00978/K01709/K00963/K17716/K03273/K19180/K02474/K13018/K00844/K01654/K02472/K03272/K13017/K18431/K18430/K18429/K02473/K13015",48
"Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","42/1184","97/4257",0.43298969072165,1.55678810253553,3.44290095551507,0.000671708678742168,0.00486317083409329,0.00359187377685285,"K01649/K00873/K00656/K00925/K01610/K03737/K00625/K01006/K03778/K01759/K01571/K00016/K02160/K01962/K01512/K01961/K00027/K01678/K01677/K00128/K00626/K01958/K01895/K00174/K04072/K00175/K00001/K00244/K00170/K01960/K00169/K13954/K15024/K01963/K01026/K01679/K18118/K01596/K00172/K01595/K01905/K22212",42
"Genetic Information Processing","Folding, sorting and degradation","ko03060","Protein export","15/1184","25/4257",0.6,2.15726351351351,3.60184331353935,0.000725968709768371,0.00505385909492597,0.00373271360893049,"K03106/K03073/K03076/K03217/K03070/K03075/K03101/K03110/K03210/K03100/K12257/K03116/K03118/K03072/K03074",15
"Metabolism","Metabolism of other amino acids","ko00450","Selenocompound metabolism","14/1184","23/4257",0.608695652173913,2.18852820211516,3.54726278992766,0.000896532867260771,0.00601009070274813,0.00443897365076483,"K01874/K00384/K00548/K14155/K11717/K01008/K00956/K00957/K01739/K00549/K12527/K01042/K01761/K01760",14
"Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","25/1184","52/4257",0.480769230769231,1.72857653326403,3.28087157881529,0.00139853263274237,0.00904051451879889,0.00667720467512335,"K01681/K01647/K00031/K01610/K03737/K00239/K01678/K01677/K00240/K01958/K00177/K00174/K00176/K00030/K00175/K00244/K00170/K01960/K00169/K01679/K01902/K01903/K18118/K01596/K00172",25
