"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","141/1835","191/4257",0.738219895287958,1.71258969713397,8.77009524442802,1.29646005717884e-18,2.56699091321409e-16,1.9515135597534e-16,"K00850/K00948/K01681/K00266/K00800/K01735/K00031/K01808/K00928/K01736/K00014/K14155/K01915/K01783/K06209/K00003/K01752/K04486/K00611/K01714/K01914/K15633/K00133/K00873/K07173/K00150/K03786/K00147/K04517/K00927/K00548/K01647/K00286/K01738/K03856/K00640/K00615/K01733/K00931/K02203/K01803/K01704/K00600/K01243/K00831/K21071/K01703/K14170/K00821/K01953/K00134/K00145/K00789/K01778/K00812/K00930/K01960/K00826/K01586/K00651/K01755/K01940/K00058/K00620/K06001/K01620/K01624/K01439/K01687/K15635/K01689/K01739/K01626/K01754/K01958/K00215/K03340/K00030/K00832/K00052/K00641/K01817/K00053/K02501/K01652/K05822/K02502/K00013/K01693/K00765/K00674/K00891/K11358/K11755/K01653/K00817/K02500/K01649/K01814/K10206/K08094/K00841/K04518/K01657/K01609/K01658/K01695/K01696/K00616/K00766/K01750/K14260/K03785/K00836/K01523/K00290/K00619/K00872/K01496/K13497/K01438/K15634/K01807/K01760/K01476/K00549/K01079/K01089/K13498/K01659/K12339/K12524/K14682/K01834/K04092/K13829/K01697/K01623/K16370/K00265/K00813",141
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","58/1835","74/4257",0.783783783783784,1.8182929523529,6.18034206676346,4.64487253176621e-10,4.59842380644855e-08,3.49587774759247e-08,"K00850/K01810/K01006/K15633/K00873/K00150/K00382/K03737/K01610/K01785/K00927/K00016/K00845/K00627/K01835/K01803/K21071/K00175/K00134/K01895/K00174/K01624/K04041/K15635/K01689/K01596/K00128/K00844/K00169/K00001/K00171/K00170/K13954/K00172/K00002/K01222/K00161/K04072/K01223/K01905/K00895/K00162/K15634/K02777/K00121/K02446/K15778/K15916/K01792/K13953/K01085/K03841/K00138/K00886/K01834/K01623/K16370/K06859",58
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","149/1835","250/4257",0.596,1.38265504087193,5.42749643040153,4.84159697055397e-08,3.19545400056562e-06,2.42929251504989e-06,"K01938/K00850/K00948/K01681/K01679/K01810/K01006/K00197/K00031/K01808/K00282/K01783/K00140/K01752/K00198/K03390/K15633/K01491/K00925/K11529/K00873/K03389/K00150/K00382/K00018/K00625/K03737/K01610/K00927/K00605/K01647/K00845/K00194/K01738/K00627/K00027/K00926/K00640/K00615/K02437/K02203/K01803/K00239/K14138/K00600/K00831/K21071/K01846/K00297/K01625/K00874/K00175/K00134/K01678/K04835/K00283/K01677/K01960/K00177/K00176/K01895/K00058/K00174/K19268/K15023/K01624/K01715/K00248/K00074/K00626/K15635/K01689/K15024/K01754/K16178/K00123/K18118/K01958/K14084/K14083/K00030/K00844/K01962/K03781/K01963/K17865/K00851/K14534/K01961/K18122/K00169/K05606/K01847/K02160/K18120/K00171/K00170/K00172/K08094/K07404/K00033/K18119/K00616/K11261/K00161/K03388/K01902/K01903/K00244/K00196/K00162/K15634/K01601/K01807/K00023/K00121/K03738/K02446/K00261/K00034/K01079/K15916/K01070/K01720/K00122/K00036/K08318/K00245/K01848/K01782/K01659/K01595/K00024/K01825/K03841/K01638/K00886/K01834/K11263/K13788/K01057/K00240/K00127/K01623/K16370/K19312/K14446/K00209/K06859",149
"Metabolism","Carbohydrate metabolism","ko00650","Butanoate metabolism","55/1835","75/4257",0.733333333333333,1.70125340599455,5.33267818305326,8.5317892746624e-08,4.22323569095789e-06,3.21064701651769e-06,"K03737/K00239/K00004/K00175/K00656/K00174/K01715/K00248/K00074/K00929/K01034/K01035/K00626/K01040/K18118/K17865/K14534/K18122/K00169/K01640/K18120/K01039/K01652/K07250/K00171/K18369/K00170/K01653/K00172/K00634/K01799/K00019/K18119/K04072/K00135/K01615/K00244/K00100/K01692/K03366/K00132/K00023/K01028/K01580/K07246/K08324/K19709/K08318/K00245/K01782/K03821/K01825/K00823/K00240/K00209",55
"Metabolism","Carbohydrate metabolism","ko00052","Galactose metabolism","40/1835","52/4257",0.769230769230769,1.78453154474953,4.95405537665109,6.28474201578411e-07,2.48875783825051e-05,1.89203812264659e-05,"K00850/K00965/K01804/K01182/K01784/K00849/K01785/K07406/K00845/K17716/K01835/K21071/K07407/K00844/K01684/K01854/K01193/K01187/K12308/K01190/K00917/K02786/K08302/K02774/K02773/K02775/K02745/K02747/K02744/K02746/K00963/K15778/K16371/K00094/K10985/K12111/K00883/K10984/K16370/K02079",40
"Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","48/1835","66/4257",0.727272727272727,1.68719346049046,4.89693038232033,8.74620413398358e-07,2.88624736421458e-05,2.19422314238535e-05,"K01938/K01681/K01679/K01006/K00197/K00031/K00198/K01491/K00925/K00625/K03737/K00194/K00239/K14138/K00297/K00175/K01678/K01677/K01960/K00177/K00176/K01895/K00174/K15023/K00626/K15024/K01958/K01962/K01963/K14534/K01961/K00169/K05606/K01847/K02160/K00171/K00170/K00172/K01902/K01903/K00244/K00196/K00245/K01848/K01595/K00024/K13788/K00240",48
"Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","59/1835","86/4257",0.686046511627907,1.59155313351499,4.82341538655806,1.26889443519219e-06,3.58915854525792e-05,2.72860006364637e-05,"K01207/K01810/K00847/K00965/K00075/K04042/K01784/K00820/K01791/K02564/K00790/K00849/K00845/K01443/K17716/K01835/K00975/K03431/K00973/K18675/K00972/K01809/K00012/K00844/K00978/K12373/K01854/K02473/K00971/K01209/K01787/K02793/K16881/K01198/K01183/K07106/K02795/K01788/K02794/K02777/K02796/K02745/K02747/K02744/K02746/K00963/K15778/K01840/K08679/K15916/K00884/K00885/K10985/K13381/K10984/K00886/K02079/K15921/K06859",59
"Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","29/1835","36/4257",0.805555555555556,1.86880108991826,4.55612578905637,4.49577083914981e-06,0.000111270328268958,8.45914776313715e-05,"K00604/K01893/K01875/K01885/K01889/K01876/K01866/K01870/K01872/K01880/K01890/K01881/K01869/K01874/K01883/K01867/K01892/K01873/K01887/K04567/K01886/K01868/K02433/K01042/K02435/K02434/K09759/K09698/K04566",29
"Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","48/1835","70/4257",0.685714285714286,1.59078240560529,4.33767357740508,1.28806174731995e-05,0.000283373584410388,0.000215430210370471,"K00700/K00705/K01810/K00847/K01182/K00688/K00703/K05988/K00845/K01835/K00975/K01194/K05350/K00702/K00844/K05349/K00978/K01193/K05343/K01214/K01187/K01179/K00690/K01838/K01222/K01176/K01223/K01200/K01208/K02760/K02761/K02759/K01232/K06896/K02777/K00963/K05342/K15778/K15916/K00691/K00697/K01087/K00694/K02438/K16147/K16148/K21574/K06859",48
"Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","22/1835","26/4257",0.846153846153846,1.96298469922448,4.28663319325422,1.54901225682353e-05,0.000306704426851059,0.000233167108132384,"K10439/K10540/K02416/K02417/K03410/K03413/K03408/K02557/K03415/K02556/K03407/K03411/K03412/K00575/K03406/K02410/K12368/K05876/K03776/K05875/K05874/K05877",22
"Environmental Information Processing","Membrane transport","ko02010","ABC transporters","203/1835","381/4257",0.532808398950131,1.2360574138042,4.20261903221685,1.82793268448528e-05,0.000329027883207351,0.000250138156824302,"K09812/K02073/K09817/K09815/K02037/K17073/K10823/K10562/K01998/K16785/K17320/K16787/K09811/K16786/K02018/K02020/K02072/K02040/K01997/K10561/K17319/K01996/K02071/K10439/K17318/K10112/K11071/K02038/K02010/K10117/K11072/K11070/K02011/K03523/K10559/K17076/K01995/K10119/K02017/K01999/K10441/K09816/K02012/K02036/K10118/K10440/K19350/K02041/K11069/K10542/K02042/K02044/K15555/K17074/K10541/K10545/K17215/K10540/K15582/K09691/K18889/K15580/K15583/K11051/K15581/K18890/K11050/K02424/K09693/K09692/K15587/K02008/K15585/K15586/K15584/K10201/K10200/K10824/K05847/K20461/K20459/K05845/K05846/K20460/K12372/K17213/K10546/K05814/K10547/K05815/K10548/K15552/K02006/K02007/K15770/K09690/K19310/K02000/K15553/K16963/K16961/K02001/K15600/K15598/K02045/K15771/K15772/K10543/K20492/K17235/K05813/K02048/K10188/K10193/K10194/K10190/K16960/K17236/K10192/K10189/K17234/K11959/K11963/K11960/K11961/K11962/K10555/K10556/K10558/K10557/K17214/K18231/K16959/K11085/K10039/K15554/K10041/K05816/K16958/K10040/K17242/K17241/K17243/K20490/K10241/K06726/K02047/K10009/K10537/K10539/K17206/K10551/K10549/K10010/K10202/K19349/K06857/K17316/K09696/K02065/K02471/K02067/K02066/K12368/K15576/K02064/K06073/K09688/K07091/K09969/K10111/K12541/K13895/K10001/K09970/K11076/K18895/K09972/K02002/K10107/K05685/K09810/K09689/K11606/K11605/K17204/K11073/K11720/K06159/K17203/K10007/K10005/K10008/K10006/K10242/K16784/K09697/K16012/K20344/K02046/K11953/K16014/K17246",203
